Country/Region,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious Critical,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population
Comoros,3912.00,0.00,146.00,0.00,3745.00,0.00,21.00,0.00,4407.00,164.00,0.00,0.00,887759.00
Republic of Congo,12485.00,0.00,165.00,0.00,11211.00,0.00,1109.00,0.00,2209.00,29.00,158304.00,28013.00,5651100.00
Costa Rica,361005.00,0.00,4602.00,0.00,287248.00,0.00,69155.00,440.00,70236.00,895.00,1411469.00,274612.00,5139868.00
Croatia,359652.00,45.00,8200.00,3.00,350938.00,88.00,514.00,11.00,88144.00,2010.00,2135858.00,523458.00,4080284.00
Cuba,179656.00,0.00,1231.00,0.00,167269.00,0.00,11156.00,154.00,15871.00,109.00,4983124.00,440213.00,11319801.00
Cyprus,74569.00,0.00,374.00,0.00,72376.00,0.00,1819.00,18.00,61323.00,308.00,7679914.00,6315682.00,1216007.00
Czech Republic,1666890.00,68.00,30298.00,2.00,1634739.00,2.00,1853.00,12.00,155369.00,2824.00,28856137.00,2689658.00,10728554.00
Denmark,292769.00,0.00,2531.00,0.00,287101.00,0.00,3137.00,17.00,50371.00,435.00,67541103.00,11620395.00,5812290.00
Djibouti,11600.00,0.00,155.00,0.00,11438.00,0.00,7.00,0.00,11576.00,155.00,171459.00,171098.00,1002111.00
Dominica,193.00,1.00,0.00,0.00,191.00,2.00,2.00,0.00,2675.00,0.00,18689.00,258987.00,72162.00
Dominican Republic,322071.00,0.00,3796.00,0.00,262865.00,0.00,55410.00,410.00,29400.00,347.00,1690555.00,154320.00,10954876.00
Democratic Republic of the Congo,39758.00,0.00,912.00,0.00,28205.00,0.00,10641.00,0.00,431.00,10.00,195072.00,2115.00,92223433.00
Ecuador,453365.00,0.00,21485.00,0.00,415508.00,0.00,16372.00,452.00,25319.00,1200.00,1525681.00,85204.00,17906126.00
Egypt,280005.00,0.00,16062.00,0.00,209395.00,0.00,54548.00,90.00,2686.00,154.00,2869589.00,27532.00,104227737.00
El Salvador,77484.00,0.00,2367.00,6.00,71603.00,0.00,3514.00,28.00,11887.00,363.00,1044841.00,160290.00,6518425.00
Equatorial Guinea,8723.00,0.00,121.00,0.00,8510.00,0.00,92.00,1.00,6024.00,84.00,149330.00,103127.00,1448016.00
Eritrea,5780.00,0.00,21.00,0.00,5261.00,0.00,498.00,0.00,1608.00,6.00,23693.00,6591.00,3594636.00
Estonia,130968.00,27.00,1269.00,0.00,127149.00,19.00,2550.00,5.00,98664.00,956.00,1517234.00,1143000.00,1327414.00
Ethiopia,275881.00,0.00,4309.00,0.00,258491.00,0.00,13081.00,164.00,2343.00,37.00,2850570.00,24208.00,117752227.00
